method,depth,train_data,complexity_penalty,timeout,test_data,time,train_r2,test_r2,leaves,terminal_calls
streed_pwsl_terminal0,5,auto_mpg,0.01,1000,auto_mpg,7.98967,0.8794466003624163,0.8794466003624165,5,0
streed_pwsl_terminal0,5,auto_mpg,0.1,1000,auto_mpg,0.055234,0.8180305937250658,0.8180305937250658,2,0
streed_pwsl_terminal0,5,enb-cool,0.0001,1000,enb-cool,69.0314,0.9831787522860512,0.9831787522860512,24,0
streed_pwsl_terminal0,5,enb-cool,0.001,1000,enb-cool,46.3423,0.9773245939977192,0.9773245939977192,13,0
streed_pwsl_terminal0,5,enb-cool,0.01,1000,enb-cool,11.0865,0.9457839921871876,0.9457839921871876,4,0
streed_pwsl_terminal0,5,enb-cool,0.1,1000,enb-cool,0.002644,0.9028214132496062,0.902821413249606,2,0
streed_pwsl_terminal0,5,enb-heat,0.0001,1000,enb-heat,78.6603,0.9978554165955013,0.9978554165955013,15,0
streed_pwsl_terminal0,5,enb-heat,0.001,1000,enb-heat,42.6819,0.9958766154383364,0.9958766154383364,10,0
streed_pwsl_terminal0,5,enb-heat,0.01,1000,enb-heat,23.0351,0.9653422826286884,0.9653422826286884,4,0
streed_pwsl_terminal0,5,enb-heat,0.1,1000,enb-heat,0.004233,0.9159954036387286,0.9159954036387286,2,0
streed_pwsl_terminal0,5,optical,0.0001,1000,optical,57.0219,0.9948701429095588,0.9948701429095588,2,0
streed_pwsl_terminal0,5,optical,0.001,1000,optical,64.3159,0.9948701429095588,0.9948701429095588,2,0
streed_pwsl_terminal0,5,optical,0.01,1000,optical,0.022593,0.9948701429095588,0.9948701429095588,2,0
streed_pwsl_terminal0,5,optical,0.1,1000,optical,0.02418,0.9948701429095588,0.9948701429095588,2,0
streed_pwsl_terminal0,5,real-estate,0.0001,1000,real-estate,157.866,0.9049779064594016,0.904977906408293,30,0
streed_pwsl_terminal0,5,real-estate,0.001,1000,real-estate,132.971,0.9027110666744022,0.9027110658775184,26,0
streed_pwsl_terminal0,5,real-estate,0.01,1000,real-estate,86.5258,0.8369028825437023,0.8369028825604136,12,0
streed_pwsl_terminal0,5,real-estate,0.1,1000,real-estate,44.1665,0.5899926376939022,0.5899926376930253,2,0
streed_pwsl_terminal0,5,seoul-bike,0.0001,1000,seoul-bike,1001.0,-1.0,-1.0,-1,-1
streed_pwsl_terminal0,5,seoul-bike,0.001,1000,seoul-bike,1001.0,-1.0,-1.0,-1,-1
streed_pwsl_terminal0,5,seoul-bike,0.01,1000,seoul-bike,1001.0,-1.0,-1.0,-1,-1
streed_pwsl_terminal0,5,seoul-bike,0.1,1000,seoul-bike,1001.0,-1.0,-1.0,-1,-1
streed_pwsl_terminal0,5,servo,0.0001,1000,servo,0.832377,0.9325163221929604,0.9325163221929604,10,0
streed_pwsl_terminal0,5,servo,0.001,1000,servo,0.802139,0.9325163221929604,0.9325163221929604,10,0
streed_pwsl_terminal0,5,servo,0.01,1000,servo,0.605338,0.9168467665044238,0.9168467665044238,6,0
streed_pwsl_terminal0,5,servo,0.1,1000,servo,0.167338,0.7070836354836652,0.707083635483665,3,0
streed_pwsl_terminal0,5,sync,0.0001,1000,sync,0.001018,1.0000000000000016,1.0000000000000002,1,0
streed_pwsl_terminal0,5,sync,0.001,1000,sync,0.001033,1.0000000000000016,1.0000000000000002,1,0
streed_pwsl_terminal0,5,sync,0.01,1000,sync,0.001038,1.0000000000000016,1.0000000000000002,1,0
streed_pwsl_terminal0,5,sync,0.1,1000,sync,0.001002,1.0000000000000016,1.0000000000000002,1,0
streed_pwsl_terminal0,5,yacht,0.0001,1000,yacht,52.29,0.9968027931322714,0.9968027931322714,11,0
streed_pwsl_terminal0,5,yacht,0.001,1000,yacht,16.8065,0.9945201120762068,0.9945201120762068,5,0
streed_pwsl_terminal0,5,yacht,0.01,1000,yacht,2.50027,0.9807875576412368,0.9807875576412368,2,0
streed_pwsl_terminal0,5,yacht,0.1,1000,yacht,0.013293,0.9807875576412368,0.9807875576412368,2,0
streed_pwsl_terminal1,5,airfoil,0.0001,1000,airfoil,0.808717,0.871691275701121,0.87169127570112,32,4974
streed_pwsl_terminal1,5,airfoil,0.001,1000,airfoil,0.87311,0.871691275701121,0.87169127570112,32,5737
streed_pwsl_terminal1,5,airfoil,0.01,1000,airfoil,1.12023,0.7534512209135493,0.7534512209135529,11,7425
streed_pwsl_terminal1,5,airfoil,0.1,1000,airfoil,0.603601,0.5004251544419926,0.500425154441991,3,3234
streed_pwsl_terminal1,5,auction,0.0001,1000,auction,0.52578,0.9806164513890632,0.9806164513890632,21,2294
streed_pwsl_terminal1,5,auction,0.001,1000,auction,0.529519,0.9785248226359338,0.9785248226359338,13,2336
streed_pwsl_terminal1,5,auction,0.01,1000,auction,0.635689,0.9541611589450982,0.9541611589450982,7,2451
streed_pwsl_terminal1,5,auction,0.1,1000,auction,0.022451,0.8621226557450562,0.8621226557450562,3,109
streed_pwsl_terminal1,5,auto_mpg,0.0001,1000,auto_mpg,1.26021,0.9470744441521006,0.9470744441520974,26,9589
streed_pwsl_terminal1,5,auto_mpg,0.001,1000,auto_mpg,1.3132,0.945011520069227,0.9450115200692252,23,10785
streed_pwsl_terminal1,5,auto_mpg,0.01,1000,auto_mpg,1.22428,0.879446600362416,0.8794466003624162,5,9067
streed_pwsl_terminal1,5,auto_mpg,0.1,1000,auto_mpg,0.007959,0.8180305937250658,0.8180305937250658,2,29
streed_pwsl_terminal1,5,enb-cool,0.0001,1000,enb-cool,1.66187,0.9831787522860512,0.9831787522860512,24,5303
