algorithm,cost_complexity,dataset,depth,leaves,terminal_calls,time,timeout,train_mse
osrt,0.1,airquality.csv,8,3,0,0.061,100,471.5254078200126
osrt,0.0001,airquality.csv,9,-1,-1,101,100,-1
osrt,0.0001,airquality.csv,9,-1,-1,101,100,-1
osrt,0.0001,airquality.csv,9,-1,-1,101,100,-1
osrt,0.001,airquality.csv,9,-1,-1,101,100,-1
osrt,0.001,airquality.csv,9,-1,-1,101,100,-1
osrt,0.001,airquality.csv,9,-1,-1,101,100,-1
osrt,0.005,airquality.csv,9,-1,-1,101,100,-1
osrt,0.005,airquality.csv,9,-1,-1,101,100,-1
osrt,0.005,airquality.csv,9,-1,-1,101,100,-1
osrt,0.01,airquality.csv,9,-1,-1,101,100,-1
osrt,0.01,airquality.csv,9,-1,-1,101,100,-1
osrt,0.01,airquality.csv,9,-1,-1,101,100,-1
osrt,0.1,airquality.csv,9,3,0,0.089,100,471.5254078200126
osrt,0.1,airquality.csv,9,3,0,1.841,100,471.5254078200126
osrt,0.1,airquality.csv,9,3,0,0.386,100,471.5254078200126
osrt,0.0001,enb-cool.csv,10,-1,-1,101,100,-1
osrt,0.0001,enb-cool.csv,10,-1,-1,101,100,-1
osrt,0.0001,enb-cool.csv,10,-1,-1,101,100,-1
osrt,0.001,enb-cool.csv,10,-1,-1,101,100,-1
osrt,0.001,enb-cool.csv,10,-1,-1,101,100,-1
osrt,0.001,enb-cool.csv,10,-1,-1,101,100,-1
osrt,0.005,enb-cool.csv,10,-1,-1,101,100,-1
osrt,0.005,enb-cool.csv,10,-1,-1,101,100,-1
osrt,0.005,enb-cool.csv,10,-1,-1,101,100,-1
osrt,0.01,enb-cool.csv,10,6,0,69.256,100,6.659862977465983
osrt,0.01,enb-cool.csv,10,6,0,76.348,100,6.659862977465983
osrt,0.01,enb-cool.csv,10,6,0,58.931,100,6.659862977465983
osrt,0.1,enb-cool.csv,10,2,0,0.039,100,17.857295567864593
osrt,0.1,enb-cool.csv,10,2,0,0.029,100,17.857295567864593
osrt,0.1,enb-cool.csv,10,2,0,0.052,100,17.857295567864593
osrt,0.0001,enb-cool.csv,3,8,0,2.085,100,6.388297159128637
osrt,0.0001,enb-cool.csv,3,8,0,2.053,100,6.388297159128637
osrt,0.0001,enb-cool.csv,3,8,0,2.046,100,6.388297159128637
osrt,0.001,enb-cool.csv,3,7,0,1.359,100,6.471470201289361
osrt,0.001,enb-cool.csv,3,7,0,1.442,100,6.471470201289361
osrt,0.001,enb-cool.csv,3,7,0,1.309,100,6.471470201289361
osrt,0.005,enb-cool.csv,3,7,0,0.877,100,6.471470201289361
osrt,0.005,enb-cool.csv,3,7,0,0.922,100,6.471470201289361
osrt,0.005,enb-cool.csv,3,7,0,0.907,100,6.471470201289361
osrt,0.01,enb-cool.csv,3,5,0,0.765,100,7.757743377720085
